Time[s],Time[hh:mm:ss],HR[bpm],RR[ms]
500.18,00:08:20,98,600.59
500.18,00:08:20,,609.38
501.22,00:08:21,99,613.28
502.26,00:08:22,99,632.81
502.26,00:08:22,,640.62
503.18,00:08:23,98,632.81
504.21,00:08:24,97,628.91
504.21,00:08:24,,628.91
505.13,00:08:25,96,640.62
505.13,00:08:25,,640.62
506.17,00:08:26,95,625.00
507.19,00:08:27,95,625.00
507.19,00:08:27,,628.91
508.11,00:08:28,95,632.81
509.1,00:08:29,95,640.62
509.1,00:08:29,,632.81
510.13,00:08:30,95,621.09
511.06,00:08:31,95,632.81
511.06,00:08:31,,636.72
512.1,00:08:32,95,640.62
512.1,00:08:32,,644.53
513.07,00:08:33,95,640.62
514.11,00:08:34,95,632.81
514.11,00:08:34,,625.00
515.04,00:08:35,94,628.91
516.09,00:08:36,94,636.72
516.09,00:08:36,,640.62
517.01,00:08:37,95,617.19
517.01,00:08:37,,605.47
518.99,00:08:38,95,608.40
518.99,00:08:38,96,613.28
518.99,00:08:38,,609.38
520.02,00:08:40,96,613.28
520.95,00:08:40,97,632.81
520.95,00:08:40,,652.34
521.99,00:08:41,97,664.06
523.02,00:08:43,97,664.06
523.02,00:08:43,,660.16
523.98,00:08:43,96,664.06
525,00:08:45,93,664.06
525,00:08:45,,644.53
525.93,00:08:45,92,636.72
525.93,00:08:45,,628.91
526.96,00:08:46,92,648.44
527.89,00:08:47,92,664.06
527.89,00:08:47,,648.44
528.93,00:08:48,92,644.53
529.85,00:08:49,93,652.34
529.85,00:08:49,,691.41
530.91,00:08:50,93,714.84
531.94,00:08:51,92,718.75
532.88,00:08:52,92,714.84
532.88,00:08:52,,730.47
533.91,00:08:53,92,730.47
534.85,00:08:54,89,691.41
534.85,00:08:54,,667.97
535.88,00:08:55,88,651.37
536.82,00:08:56,88,648.44
536.82,00:08:56,,640.62
537.81,00:08:57,88,625.00
538.85,00:08:58,90,628.91
538.85,00:08:58,,644.53
539.78,00:08:59,92,656.25
539.78,00:08:59,,656.25
540.82,00:09:00,93,648.44
541.75,00:09:01,93,640.62
541.75,00:09:01,,660.16
542.78,00:09:02,93,656.25
543.81,00:09:03,92,660.16
543.81,00:09:03,,652.34
544.74,00:09:04,92,664.06
545.79,00:09:05,92,648.44
545.79,00:09:05,,640.62
546.73,00:09:06,92,625.00
547.77,00:09:07,92,628.91
547.77,00:09:07,,636.72
548.7,00:09:08,93,636.72
549.7,00:09:09,94,648.44
549.7,00:09:09,,648.44
551.68,00:09:11,94,683.59
552.71,00:09:12,93,675.78
552.71,00:09:12,,671.88
553.66,00:09:13,93,652.34
554.69,00:09:14,92,659.18
554.69,00:09:14,,644.53
555.62,00:09:15,91,621.09
555.62,00:09:15,,601.56
556.67,00:09:16,91,601.56
557.6,00:09:17,92,597.66
557.6,00:09:17,,597.66
558.64,00:09:18,92,667.97
559.57,00:09:19,93,699.22
559.57,00:09:19,,691.41
560.61,00:09:20,92,660.16
